time,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1620022011,-5.4765625,-2.1914062,5.3261718,-29.7241211,18.4936523,20.8129883,-0.1751953,0.0063477,0.0603027
1620022011,-5.5,-2.1660156,5.296875,-30.4565429,20.7519531,15.1977539,-0.1751953,0.0063477,0.0603027
1620022011,-5.5351562,-2.2402343,5.3535156,-30.7006836,20.9960938,7.8125,-0.1751953,0.0063477,0.0603027
1620022011,-5.4726562,-2.2109375,5.3046875,-30.3955078,24.4750976,0.1220703,-0.1751953,0.0063477,0.0603027
1620022011,-5.4648437,-2.171875,5.2753906,-27.4658203,27.5878906,-3.2958984,-0.1751953,0.0063477,0.0603027
1620022011,-5.5214844,-2.1660156,5.3417968,-23.071289,24.7192383,-1.1596679,-0.1751953,0.0063477,0.0603027
1620022011,-5.4863281,-2.2285156,5.34375,-18.1884765,17.7001953,1.2207031,-0.1751953,0.0063477,0.0603027
1620022011,-5.4746094,-2.234375,5.3789062,-11.4135742,12.6953125,0.7934571,-0.1751953,0.0063477,0.0603027
1620022011,-5.515625,-2.2246093,5.3847656,-8.3618164,8.4838867,-2.3803711,-0.1751953,0.0063477,0.0603027
1620022011,-5.5234375,-2.2480468,5.3398437,-1.7700195,14.0380859,-7.2021484,-0.1751953,0.0063477,0.0603027
1620022012,-5.4921875,-2.2695312,5.3613281,2.1972656,11.2304687,-10.3759765,-0.1751953,0.0063477,0.0603027
1620022012,-5.4667969,-2.2207031,5.2792968,6.8359375,9.5825195,-10.7421875,-0.1751953,0.0063477,0.0603027
1620022011,-5.5058594,-2.1269531,5.3046875,8.972168,3.90625,-8.9111328,-0.1751953,0.0063477,0.0603027
1620022011,-5.4960937,-2.1679687,5.3164062,14.8315429,6.2866211,-7.6904297,-0.1751953,0.0063477,0.0603027
1620022011,-5.4941406,-2.1875,5.3789062,15.3808593,5.1269531,-3.4790039,-0.1751953,0.0063477,0.0603027
1620022011,-5.4980469,-2.2324218,5.3046875,14.2211914,-0.4272461,-2.9296875,-0.1751953,0.0063477,0.0603027
1620022011,-5.4941406,-2.1777343,5.2597656,0.366211,9.7045898,-6.5307617,-0.1751953,0.0063477,0.0603027
1620022011,-5.5175781,-2.1640625,5.2988281,-5.0048828,13.2446289,-2.3803711,-0.1751953,0.0063477,0.0603027
1620022011,-5.5058594,-2.1445312,5.3085937,-10.3149414,17.6391601,1.0986328,-0.1751953,0.0063477,0.0603027
1620022011,-5.5,-2.2089843,5.3085937,-16.5405273,14.465332,4.6386719,-0.1751953,0.0063477,0.0603027
1620022011,-5.4589844,-2.2070312,5.3144531,-19.4702148,14.5263672,7.2021484,-0.1751953,0.0063477,0.0603027
1620022011,-5.5,-2.1796875,5.2871093,-22.7661133,19.4702148,8.972168,-0.1751953,0.0063477,0.0603027
1620022011,-5.5019531,-2.2070312,5.3339843,-23.1933593,22.9492188,9.9487305,-0.1751953,0.0063477,0.0603027
1620022011,-5.53125,-2.1875,5.3300781,-27.0385742,20.6298828,5.7983398,-0.1751953,0.0063477,0.0603027
1620022011,-5.5488281,-2.2167968,5.2949218,-26.3061523,21.2402343,4.8828125,-0.1751953,0.0063477,0.0603027
1620022011,-5.5039062,-2.2363281,5.3027343,-27.4658203,19.9584961,3.0517578,-0.1751953,0.0063477,0.0603027
1620022011,-5.5429687,-2.1992187,5.375,-23.0102539,21.6064453,3.6010742,-0.1751953,0.0063477,0.0603027
1620022011,-5.4921875,-2.1933593,5.3105468,-18.7988281,18.005371,4.0893554,-0.1751953,0.0063477,0.0603027
1620022011,-5.4863281,-2.2480468,5.3339843,-10.1318359,20.0195312,5.0659179,-0.1751953,0.0063477,0.0603027
1620022011,-5.4589844,-2.1640625,5.3398437,-10.8032226,14.3432617,6.9580078,-0.1751953,0.0063477,0.0603027
1620022011,-5.4882812,-2.2265625,5.2832031,-6.2255859,11.71875,1.3427734,-0.1751953,0.0063477,0.0603027
